Name,Symbol,Price(USD),1h %,24h %,7 day %,Last update
Bitcoin,btc,38661.0,0.05779963137963887,-0.4802923443643625,-2.7558985107143505,2022-04-30T11:19:31.106Z
Ethereum,eth,2836.82,0.09993649577931041,-0.7277753773768044,-4.390237967095054,2022-04-30T11:19:19.456Z
Tether,usdt,1.0,-0.09079557398720388,-0.04917849560741287,0.01133062343146011,2022-04-30T11:16:49.622Z
BNB,bnb,397.56,-0.06218738686572017,0.38067688166872826,-2.3919098261035883,2022-04-30T11:18:12.793Z
USD Coin,usdc,0.998113,-0.07773655890815324,-0.015944223643845845,-0.13505880260114858,2022-04-30T11:18:54.396Z
Solana,sol,94.18,0.051298970514932936,-1.6854258086102594,-6.421789366957759,2022-04-30T11:19:25.442Z
XRP,xrp,0.623227,0.2600351119218773,0.8285017441799621,-13.469457109844429,2022-04-30T11:19:09.569Z
Terra,luna,84.3,0.6678636612159882,-1.241346161751327,-10.023085131370129,2022-04-30T11:19:21.371Z
Cardano,ada,0.808693,-0.21453715006172486,-0.3504843617541014,-10.90497149210668,2022-04-30T11:18:32.545Z
TerraUSD,ust,1.001,-0.16100302039850806,-0.09442545483454444,-0.37330716805522485,2022-04-30T11:18:42.889Z
